Expanded Homicide Data Table 6,,,,,,,,,,,,,
Murder ,,,,,,, ,,,,,,
"Race, Ethnicity, and Sex of Victim by Race, Ethnicity, and Sex of Offender, 2013",,,,,,,,,,,,,
[Single victim/single offender],,,,,,,,,,,,,
Race of victim,     Total,Race of offender,,,,Sex of offender,,,Ethnicity of offender1,,,,
,,White,"Black or
African
American",Other1,Unknown,Male,Female,Unknown,"Hispanic
or Latino","Not
Hispanic
or Latino",Unknown,,
White ,"3,005","2,509",409,49,38,"2,661",306,38,532,945,"1,528",,
Black or African American,"2,491",189,"2,245",20,37,"2,217",237,37,76,807,"1,608",,
Other race2 ,159,32,27,96,4,142,13,4,10,63,86,,
Unknown race,68,25,17,3,23,38,7,23,3,14,51,,
Sex of victim,     Total,Race of offender,,,,Sex of offender,,,Ethnicity of offender1,,,,
,,White,"Black or
African
American",Other1,Unknown,Male,Female,Unknown,"Hispanic
or Latino","Not
Hispanic
or Latino",Unknown,,
Male ,"3,976","1,739","2,073",103,61,"3,505",410,61,459,"1,253","2,264",,
Female ,"1,679",991,608,62,18,"1,515",146,18,159,562,958,,
Unknown sex,68,25,17,3,23,38,7,23,3,14,51,,
Ethnicity of victim,     Total,Race of offender,,,,Sex of offender,,,Ethnicity of offender1,,,,
,,White,"Black or
African
American",Other1,Unknown,Male,Female,Unknown,"Hispanic
or Latino","Not
Hispanic
or Latino",Unknown,,
Hispanic or Latino,588,486,87,10,5,542,41,5,439,123,26,,
Not Hispanic or Latino,"1,891",877,928,69,17,"1,708",166,17,151,"1,671",69,,
Unknown,"3,244","1,392","1,683",89,80,"2,808",356,80,31,35,"3,178",,
"1 The ethnicity totals are representative of those agencies that provided ethnicity breakdowns.  Not all agencies provide ethnicity data, therefore the race and ethnicity totals will not equal.",,,,,,,,,,,,,
2 Includes American Indian or Alaska Native; Asian; Native Hawaiian or Other Pacific Islander.,,,,,,,,,,,,,
"NOTE:  This table is based on incidents where some information about the offender is known by law enforcement; therefore, when the offender age, sex, and race are all reported as unknown, these data are excluded from the table. ",,,,,,,,,,,,, 
,,, ,,,,,, ,,,, 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
